"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"144",9,"Alfred Morris",FA,"RB49","53","303","123.8","46.9"
"145",9,"Corey Clement",DAL,"RB50","86","295","151.8","32.5"
"146",9,"Mike Williams",LAC,"WR52","54","228","130.9","34.0"
"147",9,"DJ Moore",CAR,"WR53","82","224","132.3","27.6"
"148",9,"Andy Dalton",NO,"QB24","111","283","165.1","29.1"
"149",9,"Jared Cook",LAC,"TE20","92","256","149.2","27.3"
"150",9,"Aaron Jones",GB,"RB51","60","270","148.6","30.2"
"151",9,"Los Angeles Rams",LAR,"DST3","102","234","154.0","23.5"
"152",9,"Ricky Seals-Jones",NYG,"TE21","87","253","154.8","27.5"
"153",9,"Philadelphia Eagles",PHI,"DST4","100","280","155.7","24.0"
"154",9,"Case Keenum",BUF,"QB25","98","266","169.9","26.3"
"155",9,"Josh Doctson",FA,"WR54","87","249","139.4","29.5"
"156",9,"Chris Godwin",TB,"WR55","80","209","135.1","26.5"
"157",9,"Benjamin Watson",FA,"TE22","104","241","156.6","24.5"
"158",9,"Los Angeles Chargers",LAC,"DST5","111","284","159.9","23.4"
"159",9,"Houston Texans",HOU,"DST6","115","288","165.8","22.8"
"160",9,"Jameis Winston",NO,"QB26","106","286","181.4","32.8"
"161",9,"John Brown",FA,"WR56","86","232","138.4","35.3"
"162",9,"Michael Gallup",DAL,"WR57","79","225","137.2","30.6"
"163",9,"Baltimore Ravens",BAL,"DST7","117","289","171.4","22.9"
"164",10,"Cameron Meredith",FA,"WR58","87","230","143.4","32.0"
"165",10,"Denver Broncos",DEN,"DST8","113","240","168.8","20.8"
"166",10,"Anthony Miller",PIT,"WR59","79","282","144.5","34.7"
"167",10,"Latavius Murray",BAL,"RB52","113","270","161.4","24.7"
"168",10,"Stephen Gostkowski",FA,"K1","116","517","171.8","40.0"
"169",10,"Justin Tucker",BAL,"K2","118","314","172.7","23.1"
"170",10,"New Orleans Saints",NO,"DST9","115","293","181.9","24.9"
"171",10,"Ryan Tannehill",TEN,"QB27","114","309","187.9","26.7"
"172",10,"Nick Chubb",CLE,"RB53","107","285","159.7","31.4"
"173",10,"Austin Hooper",TEN,"TE23","99","258","167.2","30.3"
"174",10,"Mohamed Sanu Sr.",SF,"WR60","97","247","149.1","33.8"
"175",10,"Greg Zuerlein",NYJ,"K3","119","308","173.3","23.6"
"176",10,"Mike Gesicki",MIA,"TE24","102","274","170.3","33.6"
"177",10,"Calvin Ridley",ATL,"WR61","86","227","146.5","30.1"
"178",10,"New England Patriots",NE,"DST10","125","304","191.6","24.3"
"179",10,"Tyrell Williams",FA,"WR62","110","256","155.7","33.5"
"180",10,"Pittsburgh Steelers",PIT,"DST11","131","353","195.4","27.6"
"181",10,"John Ross",NYG,"WR63","41","266","159.7","41.3"
"182",10,"Tyrod Taylor",NYG,"QB28","101","326","182.3","37.1"
"183",10,"Matt Bryant",FA,"K4","122","360","182.5","27.6"
"184",10,"Carolina Panthers",CAR,"DST12","130","302","194.7","23.2"
"185",10,"Vance McDonald",FA,"TE25","115","278","179.7","33.5"
"186",10,"DeSean Jackson",LV,"WR64","111","256","159.1","35.3"
"187",10,"Wil Lutz",NO,"K5","126","358","187.3","26.9"
"188",10,"Jordan Wilkins",TEN,"RB54","80","367","159.8","40.7"
"189",10,"Austin Ekeler",LAC,"RB55","99","277","167.8","31.6"
"190",10,"Dede Westbrook",MIN,"WR65","85","242","153.9","30.6"
"191",10,"Chicago Bears",CHI,"DST13","122","300","195.2","29.2"
"192",10,"Frank Gore",FA,"RB56","119","272","176.5","27.2"
"193",10,"Javorius Allen",FA,"RB57","88","324","173.4","37.8"
"194",10,"Matt Prater",ARI,"K6","132","326","198.3","26.1"
"195",10,"Jake Elliott",PHI,"K7","133","361","198.5","29.0"
"196",10,"Seattle Seahawks",SEA,"DST14","127","333","199.2","33.9"
"197",10,"Paul Richardson Jr.",FA,"WR66","105","234","161.1","31.9"
"198",10,"Harrison Butker",KC,"K8","136","368","204.0","28.0"
"199",10,"Danny Amendola",HOU,"WR67","83","297","169.8","36.8"
"200",10,"Mason Crosby",GB,"K9","140","362","208.5","27.0"
"201",10,"Chris Boswell",PIT,"K10","135","367","203.7","28.1"
"202",10,"Atlanta Falcons",ATL,"DST15","141","337","206.2","29.3"
"203",10,"Doug Martin",FA,"RB58","126","266","182.1","26.6"
"204",10,"LeGarrette Blount",FA,"RB59","113","276","186.3","32.9"
"205",10,"Arizona Cardinals",ARI,"DST16","138","317","208.4","27.9"
"206",11,"Kansas City Chiefs",KC,"DST17","134","379","207.5","35.0"
"207",11,"Graham Gano",NYG,"K11","146","383","218.7","30.4"
"208",11,"Geronimo Allison",FA,"WR68","81","267","177.5","34.3"
"209",11,"Ted Ginn Jr.",FA,"WR69","118","271","177.9","37.5"
"210",11,"James Conner",ARI,"RB60","58","326","166.3","71.8"
"211",11,"Quincy Enunwa",FA,"WR70","111","270","183.5","36.3"
"212",11,"Nyheim Hines",IND,"RB61","109","297","180.7","37.3"
"213",11,"T.J. Yeldon",FA,"RB62","142","281","188.7","29.5"
"214",11,"Christian Kirk",JAC,"WR71","97","268","181.5","33.8"
"215",11,"Adam Vinatieri",FA,"K12","143","366","219.3","30.4"
"216",11,"Joe Flacco",NYJ,"QB29","118","287","209.9","34.8"
"217",11,"Robbie Gould",SF,"K13","146","369","210.1","29.9"
"218",11,"Courtland Sutton",DEN,"WR72","110","271","189.5","31.1"
"219",11,"Green Bay Packers",GB,"DST18","153","355","224.7","37.4"
"220",11,"Mike Wallace",FA,"WR73","95","281","189.4","37.3"
"221",11,"Cole Beasley",FA,"WR74","105","274","186.7","35.1"
"222",11,"Donte Moncrief",FA,"WR75","74","259","186.5","36.9"
"223",11,"Darren Sproles",FA,"RB63","129","302","195.4","35.2"
"224",11,"Hayden Hurst",CIN,"TE26","115","321","191.6","40.4"
"225",11,"Ryan Grant",FA,"WR76","112","253","186.5","34.6"
"226",11,"James Washington",DAL,"WR77","108","277","200.1","38.0"
"227",11,"Chris Ivory",FA,"RB64","147","278","201.4","30.9"
"228",11,"Cincinnati Bengals",CIN,"DST19","149","318","229.7","35.2"
"229",11,"Ryan Succop",TB,"K14","154","385","226.3","34.5"
"230",11,"D'Onta Foreman",CAR,"RB65","129","317","200.0","43.8"
"231",11,"Kenneth Dixon",FA,"RB66","126","295","200.8","34.9"
"232",11,"Brandon McManus",DEN,"K15","156","364","235.4","37.4"
"233",11,"Spencer Ware",FA,"RB67","143","262","206.9","34.3"
"234",11,"Antonio Gates",FA,"TE27","102","329","199.2","47.3"
"235",11,"Taywan Taylor",FA,"WR78","95","276","197.4","39.0"
"236",11,"Sam Darnold",CAR,"QB30","159","426","229.7","44.4"
"237",11,"New York Giants",NYG,"DST20","171","356","233.8","37.8"
"238",11,"Samaje Perine",CIN,"RB68","116","347","198.7","50.7"
"239",11,"Dan Bailey",FA,"K16","129","359","212.5","37.8"
"240",11,"Sam Bradford",FA,"QB31","144","472","225.7","54.0"
"241",11,"Dez Bryant",FA,"WR79","89","285","177.1","46.7"
"242",11,"Luke Willson",FA,"TE28","138","284","219.8","32.8"
"243",11,"Albert Wilson",MIA,"WR80","145","276","211.5","29.1"
"244",11,"Tennessee Titans",TEN,"DST21","162","354","222.4","33.3"
"245",11,"Jermaine Kearse",FA,"WR81","164","287","218.5","30.1"
"246",11,"Wayne Gallman Jr.",MIN,"RB69","126","340","219.5","40.3"
"247",11,"Terrance Williams",FA,"WR82","137","322","221.9","33.3"
"248",11,"Dante Pettis",NYG,"WR83","116","344","217.7","36.5"
"249",11,"Brandon Marshall",FA,"WR84","132","302","212.6","38.9"
"250",12,"Vernon Davis",FA,"TE29","149","285","228.9","32.4"
"251",12,"Robert Kelley",FA,"RB70","134","341","210.9","43.9"
"252",12,"Josh Lambo",FA,"K17","168","373","235.6","38.0"
"253",12,"Jeremy Hill",FA,"RB71","123","385","224.9","54.5"
"254",12,"Kalen Ballage",PIT,"RB72","143","415","230.9","53.1"
"255",12,"Jake Butt",FA,"TE30","141","299","226.8","37.4"
"256",12,"Chase Edmonds",MIA,"RB73","135","298","228.1","34.9"
"257",12,"Tre'Quan Smith",NO,"WR85","86","342","223.8","53.3"
"258",12,"Willie Snead IV",FA,"WR86","146","288","228.0","30.4"
"259",12,"Terrelle Pryor Sr.",FA,"WR87","139","320","226.6","35.8"
"260",12,"Daniel Carlson",LV,"K18","173","387","241.8","41.6"
"261",12,"Nick Vannett",NO,"TE31","135","307","224.1","43.6"
"262",12,"Taylor Gabriel",FA,"WR88","121","300","241.7","43.6"
"263",12,"John Kelly",CLE,"RB74","161","313","254.9","43.3"
"264",12,"C.J. Prosise",FA,"RB75","174","425","252.0","42.7"
"265",12,"Zay Jones",JAC,"WR89","187","303","252.3","31.7"
"266",12,"Dallas Goedert",PHI,"TE32","139","310","225.4","42.1"
"267",12,"Corey Grant",FA,"RB76","171","314","243.3","38.1"
"268",12,"Chester Rogers",TEN,"WR90","172","351","254.2","37.1"
"269",12,"Detroit Lions",DET,"DST22","161","371","250.8","43.7"
"270",12,"Phillip Dorsett II",HOU,"WR91","143","286","226.5","39.1"
"271",12,"Ka'imi Fairbairn",HOU,"K19","164","388","249.3","44.9"
"272",12,"Antonio Callaway",FA,"WR92","148","348","249.3","42.4"
"273",12,"Trent Taylor",CIN,"WR93","177","356","255.6","32.6"
"274",12,"Gerald Everett",LAC,"TE33","174","347","246.0","32.5"
"275",12,"Kyle Juszczyk",SF,"RB77","143","346","243.5","51.1"
"276",12,"Kai Forbath",LAR,"K20","152","318","235.3","41.8"
"277",12,"Baker Mayfield",CLE,"QB32","180","492","274.4","60.2"
"278",12,"Caleb Sturgis",FA,"K21","182","391","261.6","40.3"
"279",12,"Martavis Bryant",FA,"WR94","120","355","210.4","52.8"
"280",12,"Josh Allen",BUF,"QB33","177","451","265.3","49.9"
"281",12,"Jaron Brown",ARI,"WR95","198","306","256.3","25.2"
"282",12,"Mike Gillislee",FA,"RB78","153","356","258.3","48.9"
"283",12,"Rod Smith",FA,"RB79","177","333","269.5","34.5"
